beer_id,beer_name,mash_type,brewer,batch_size,boil_size,efficiency
ommegang-abbey-ale,[u'Ommegang Abbey Ale'],[u'All Grain'],[u'mgo737'],[u'22.71247068'],[u'32.4409789546'],[u'84.0']
double-dawg-dare-ipa-v2,[u'Double Dawg Dare IPA V2'],[u'All Grain'],[u'SEATTLEBREWING'],[u'26.49788246'],[u'32.956741309625'],[u'76.0']
proper-job,[u'Proper Job'],[u'All Grain'],[u'andygashead'],[u'20.81976479'],[u'26.0436330464'],[u'75.0']
bells-two-hearted-beersmith,[u'Bells Two Hearted (BeerSmith)'],[u'All Grain'],[u'Joe Machulsky'],[u'20.81976479'],[u'24.983717748'],[u'68.0']
october-sky-fresh-hop-brown-ale,[u'October Sky - Fresh Hop Brown Ale'],[u'Extract'],[u'illa_kotilla'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
robust-porter-v3,[u'Robust Porter V3'],[u'All Grain'],[u'Travis'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
springtime-red-ipa,[u'Springtime Red IPA'],[u'All Grain'],[u'12characters'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
hoegaarden-clone-26,[u'Hoegaarden Clone'],[u'All Grain'],[u'Austin'],[u'18.9270589'],[u'27.0278401092'],[u'63.0']
all-citra-ale,[u'All Citra Ale'],[u'Extract'],[u'TNT Home Brew'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
grapefruit-ipa-87c8c3,[u'Grapefruit IPA'],[u'Partial Mash'],[u'ffSwanee'],[u'18.9270589'],[u'10.220611806'],[u'75.0']
citra-amarillo-ipa,[u'Citra/Amarillo IPA'],[u'All Grain'],[u'Ian'],[u'20.81976479'],[u'24.983717748'],[u'61.0']
love-you-long-time-ipa,[u'Love You Long Time IPA'],[u'All Grain'],[u'Sheri_go_round'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
wee-heavy-51,[u'Wee Heavy'],[u'All Grain'],[u'barleyrat'],[u'18.9270589'],[u'94.6352945'],[u'75.0']
house-red-ale,[u'House Red Ale'],[u'Extract'],[u'SavoryFrank'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
sierra-nevada-pale-ale-clone-65,[u'Sierra Nevada Pale Ale Clone'],[u'All Grain'],[u'Collin Buesser'],[u'20.81976479'],[u'25.1919153959'],[u'69.0']
