beer_id,beer_name,name,origin,_type,_yield,amount,potential,color,add_after_boil,coarse_fine_diff,moisture,diastatic_power,protein,max_in_batch,recommend_mash,ibu_gal_per_lb,notes
biscuit-ipa-2,[u'Biscuit IPA'],[u'2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'4.535923700000001'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
biscuit-ipa-2,[u'Biscuit IPA'],[u'Caramel/Crystal 60L (US)'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.45359237'],[u'1.034'],[u'60'],[],[],[],[],[],[],[],[],[]
biscuit-ipa-2,[u'Biscuit IPA'],[u'Honey '],[],[u'Sugar'],[u'90.69315482617145'],[u'0.34019427750000003'],[u'1.042'],[u'2'],[],[],[],[],[],[],[],[],[]
jamil-wee-heavy-f5481f,[u'Jamil Wee Heavy'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
jamil-wee-heavy-f5481f,[u'Jamil Wee Heavy'],"[u'Pale Malt, 2 Row, UK']",[],[u'Base Malt'],[u'77.7369898510041'],[u'8.073944186'],[u'1.036'],[u'3'],[],[],[],[],[],[],[],[],[]
jamil-wee-heavy-f5481f,[u'Jamil Wee Heavy'],[u'Caramel Malt 40L'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.544310844'],[u'1.034'],[u'40'],[],[],[],[],[],[],[],[],[]
jamil-wee-heavy-f5481f,[u'Jamil Wee Heavy'],[u'Munich Malt'],[],[u'Kilned Malt'],[u'75.57762902180954'],[u'0.34019427750000003'],[u'1.035'],[u'7'],[],[],[],[],[],[],[],[],[]
jamil-wee-heavy-f5481f,[u'Jamil Wee Heavy'],[u'Caramel Malt 120L'],[],[u'Caramel/Crystal Malt'],[u'69.09954653422587'],[u'0.226796185'],[u'1.032'],[u'120'],[],[],[],[],[],[],[],[],[]
centennial-blonde-ale-10,[u'Centennial Blonde Ale'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
centennial-blonde-ale-10,[u'Centennial Blonde Ale'],[u'Golden Light LME'],[u'United States'],[u'Liquid Extract'],[u'79.89635068019865'],[u'1.31677865011'],[u'1.037'],[u'4'],[],[],[],[],[],[],[],[],[]
northern-brewer-nut-brown-ale-1,[u'Northern Brewer Nut Brown Ale'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
northern-brewer-nut-brown-ale-1,[u'Northern Brewer Nut Brown Ale'],[u'Maris Otter Pale Ale Malt'],[u'United Kingdom'],[u'Base Malt'],[u'77.7369898510041'],[u'2.6308357460000003'],[u'1.036'],[u'2'],[],[],[],[],[],[],[],[],[]
northern-brewer-nut-brown-ale-1,[u'Northern Brewer Nut Brown Ale'],[u'Special Roast Malt'],[u'United States'],[u'Roasted Malt'],[u'73.41826819261497'],[u'0.1133980925'],[u'1.034'],[u'50'],[],[],[],[],[],[],[],[],[]
northern-brewer-nut-brown-ale-1,[u'Northern Brewer Nut Brown Ale'],[u'2-Row Caramel Malt 120L'],[u'United States'],[u'Caramel/Crystal Malt'],[u'69.09954653422587'],[u'0.1133980925'],[u'1.032'],[u'120'],[],[],[],[],[],[],[],[],[]
northern-brewer-nut-brown-ale-1,[u'Northern Brewer Nut Brown Ale'],[u'Biscuit\xae MD\u2122'],[u'Belgium'],[u'Kilned Malt'],[u'73.41826819261497'],[u'0.1133980925'],[u'1.034'],[u'23'],[],[],[],[],[],[],[],[],[]
red-amber-ale,[u'Red Amber Ale'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
red-amber-ale,[u'Red Amber Ale'],[u'2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'6.80388555'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
red-amber-ale,[u'Red Amber Ale'],[u'Carapils (Dextrine Malt) (US)'],[],[u'Adjunct'],[u'71.25890736342042'],[u'0.6803885550000001'],[u'1.033'],[u'1'],[],[],[],[],[],[],[],[],[]
red-amber-ale,[u'Red Amber Ale'],[u'Caramel/Crystal 60L (US)'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.6803885550000001'],[u'1.034'],[u'60'],[],[],[],[],[],[],[],[],[]
armageddon-oatmeal-stout,[u'Armageddon Oatmeal Stout'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
armageddon-oatmeal-stout,[u'Armageddon Oatmeal Stout'],[u'Finest Maris Otter Ale Malt'],[],[u'Base Malt'],[u'82.05571150939322'],[u'3.62873896'],[u'1.038'],[u'3'],[],[],[],[],[],[],[],[],[]
armageddon-oatmeal-stout,[u'Armageddon Oatmeal Stout'],[u'Oat Flakes'],[],[u'Adjunct'],[u'66.94018570503131'],[u'0.45359237'],[u'1.031'],[u'1'],[],[],[],[],[],[],[],[],[]
armageddon-oatmeal-stout,[u'Armageddon Oatmeal Stout'],[u'Ch\xe2teau Biscuit\xae'],[],[u'Kilned Malt'],[u'75.57762902180954'],[u'0.17009713875000002'],[u'1.035'],[u'23'],[],[],[],[],[],[],[],[],[]
armageddon-oatmeal-stout,[u'Armageddon Oatmeal Stout'],[u'Chocolate Malt'],[],[u'Roasted Malt'],[u'73.41826819261497'],[u'0.17009713875000002'],[u'1.034'],[u'350'],[],[],[],[],[],[],[],[],[]
